<State>,INVALID,STOP,HALT,CANCEL,READY,START,RESTART,FIRST_HALF,HALF_TIME,SECOND_HALF,END_GAME,KICKOFF_OWN,KICKOFF_OPP,FREEKICK_OWN,FREEKICK_OPP,GOALKICK_OWN,GOALKICK_OPP,THROWIN_OWN,THROWIN_OPP,CORNER_OWN,CORNER_OPP,PENALTY_OWN,PENALTY_OPP,GOAL_OWN,GOAL_OPP,SUBGOAL_OWN,SUBGOAL_OPP,DUMMY,DROPPED_BALL
INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_PLAYING,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OUT_OF_MATCH_NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,OWN_FREEKICK_PREPARE,OPP_FREEKICK_PREPARE,OWN_GOALKICK_PREPARE,OPP_GOALKICK_PREPARE,OWN_THROWIN_PREPARE,OPP_THROWIN_PREPARE,OWN_CORNER_PREPARE,OPP_CORNER_PREPARE,OWN_PENALTY_PREPARE,OPP_PENALTY_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,DROPPED_BALL_PREPARE
NEUTRAL_PLAYING,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_PLAYING,NEUTRAL_PLAYING,NEUTRAL_PLAYING,NEUTRAL_PLAYING,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OUT_OF_MATCH_NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,OWN_FREEKICK_PREPARE,OPP_FREEKICK_PREPARE,OWN_GOALKICK_PREPARE,OPP_GOALKICK_PREPARE,OWN_THROWIN_PREPARE,OPP_THROWIN_PREPARE,OWN_CORNER_PREPARE,OPP_CORNER_PREPARE,OWN_PENALTY_PREPARE,OPP_PENALTY_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_PLAYING,DROPPED_BALL_PREPARE
OWN_KICKOFF_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OWN_KICKOFF_PREPARE,OWN_KICKOFF_EXECUTE,OWN_KICKOFF_PREPARE,OWN_KICKOFF_PREPARE,NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OUT_OF_MATCH_NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,OWN_FREEKICK_PREPARE,OPP_FREEKICK_PREPARE,OWN_GOALKICK_PREPARE,OPP_GOALKICK_PREPARE,OWN_THROWIN_PREPARE,OPP_THROWIN_PREPARE,OWN_CORNER_PREPARE,OPP_CORNER_PREPARE,OWN_PENALTY_PREPARE,OPP_PENALTY_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,DROPPED_BALL_PREPARE
OPP_KICKOFF_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OPP_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,OPP_KICKOFF_EXECUTE,OPP_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,NEUTRAL_STOPPED,OPP_KICKOFF_PREPARE,OUT_OF_MATCH_NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,OWN_FREEKICK_PREPARE,OPP_FREEKICK_PREPARE,OWN_GOALKICK_PREPARE,OPP_GOALKICK_PREPARE,OWN_THROWIN_PREPARE,OPP_THROWIN_PREPARE,OWN_CORNER_PREPARE,OPP_CORNER_PREPARE,OWN_PENALTY_PREPARE,OPP_PENALTY_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OPP_KICKOFF_PREPARE,DROPPED_BALL_PREPARE
OWN_KICKOFF_EXECUTE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OWN_KICKOFF_EXECUTE,OWN_KICKOFF_EXECUTE,OWN_KICKOFF_PREPARE,OWN_KICKOFF_EXECUTE,NEUTRAL_STOPPED,OWN_KICKOFF_EXECUTE,OUT_OF_MATCH_NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,OWN_FREEKICK_PREPARE,OPP_FREEKICK_PREPARE,OWN_GOALKICK_PREPARE,OPP_GOALKICK_PREPARE,OWN_THROWIN_PREPARE,OPP_THROWIN_PREPARE,OWN_CORNER_PREPARE,OPP_CORNER_PREPARE,OWN_PENALTY_PREPARE,OPP_PENALTY_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OWN_KICKOFF_EXECUTE,DROPPED_BALL_PREPARE
OPP_KICKOFF_EXECUTE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OPP_KICKOFF_PREPARE,OPP_KICKOFF_EXECUTE,OPP_KICKOFF_EXECUTE,OPP_KICKOFF_PREPARE,OPP_KICKOFF_EXECUTE,NEUTRAL_STOPPED,OPP_KICKOFF_EXECUTE,OUT_OF_MATCH_NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,OWN_FREEKICK_PREPARE,OPP_FREEKICK_PREPARE,OWN_GOALKICK_PREPARE,OPP_GOALKICK_PREPARE,OWN_THROWIN_PREPARE,OPP_THROWIN_PREPARE,OWN_CORNER_PREPARE,OPP_CORNER_PREPARE,OWN_PENALTY_PREPARE,OPP_PENALTY_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OPP_KICKOFF_EXECUTE,DROPPED_BALL_PREPARE
OWN_FREEKICK_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OWN_FREEKICK_PREPARE,OWN_FREEKICK_PREPARE,OWN_FREEKICK_EXECUTE,OWN_FREEKICK_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OUT_OF_MATCH_NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,OWN_FREEKICK_PREPARE,OPP_FREEKICK_PREPARE,OWN_GOALKICK_PREPARE,OPP_GOALKICK_PREPARE,OWN_THROWIN_PREPARE,OPP_THROWIN_PREPARE,OWN_CORNER_PREPARE,OPP_CORNER_PREPARE,OWN_PENALTY_PREPARE,OPP_PENALTY_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OWN_FREEKICK_PREPARE,DROPPED_BALL_PREPARE
OPP_FREEKICK_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OPP_FREEKICK_PREPARE,OPP_FREEKICK_PREPARE,OPP_FREEKICK_EXECUTE,OPP_FREEKICK_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OUT_OF_MATCH_NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,OWN_FREEKICK_PREPARE,OPP_FREEKICK_PREPARE,OWN_GOALKICK_PREPARE,OPP_GOALKICK_PREPARE,OWN_THROWIN_PREPARE,OPP_THROWIN_PREPARE,OWN_CORNER_PREPARE,OPP_CORNER_PREPARE,OWN_PENALTY_PREPARE,OPP_PENALTY_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OPP_FREEKICK_PREPARE,DROPPED_BALL_PREPARE
OWN_FREEKICK_EXECUTE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OWN_FREEKICK_PREPARE,OWN_FREEKICK_EXECUTE,OWN_FREEKICK_EXECUTE,OWN_FREEKICK_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OUT_OF_MATCH_NEUTRAL_STOPPED,OWN_KICKOFF_PREPARE,OPP_KICKOFF_PREPARE,OWN_FREEKICK_PREPARE,OPP_FREEKICK_PREPARE,OWN_GOALKICK_PREPARE,OPP_GOALKICK_PREPARE,OWN_THROWIN_PREPARE,OPP_THROWIN_PREPARE,OWN_CORNER_PREPARE,OPP_CORNER_PREPARE,OWN_PENALTY_PREPARE,OPP_PENALTY_PREPARE,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,NEUTRAL_STOPPED,OWN_FREEKICK_EXECUTE,DROPPED_BALL_PREPARE
